frame,track_id,class,direction
3,2,car,in
3,6,car,out
8,3,car,in
40,5,car,out
48,13,car,in
60,14,truck,out
64,12,truck,in
65,18,truck,out
70,16,car,in
74,17,car,out
86,19,car,in
108,20,car,in
110,22,car,out
125,23,car,out
140,24,car,in
148,26,truck,out
166,27,car,out
169,25,car,in
177,28,car,out
223,29,car,out
237,30,car,out
246,31,car,out
253,32,car,in
287,33,car,in
289,34,car,out
299,36,car,out
300,35,truck,out
344,42,car,out
349,43,car,out
357,37,truck,in
362,39,car,in
363,38,truck,in
363,44,car,out
375,46,car,out
390,48,car,in
397,49,car,in
427,51,car,in
428,50,car,out
447,52,car,out
460,54,car,in
481,56,car,out
484,55,car,in
486,59,car,out
487,58,car,in
490,62,truck,out
519,64,car,in
524,67,car,out
529,72,truck,in
539,68,car,out
540,70,car,in
544,71,truck,out
571,73,car,in
584,74,car,out
591,77,car,in
595,76,car,in
599,75,truck,out
606,78,car,out
619,81,car,in
624,79,car,in
640,82,truck,out
647,83,car,in
661,84,car,out
662,85,car,out
682,86,car,in
687,87,car,out
689,88,truck,in
705,98,car,in
710,90,car,in
710,96,car,in
714,92,truck,out
719,95,car,out
737,100,car,in
756,102,car,in
760,99,car,out
761,101,car,in
789,103,car,out
796,104,car,out
800,105,car,out
800,108,car,in
808,106,car,in
820,111,car,out
821,110,car,in
833,109,car,in
835,112,truck,out
836,107,car,in
840,113,car,out
867,114,car,in
888,117,car,out
892,115,car,in
902,116,car,in
902,118,car,out
917,122,car,in
919,119,car,out
932,120,car,out
936,123,car,in
936,124,car,in
944,125,car,out
967,128,car,in
971,129,car,in
975,131,car,in
978,127,car,out
988,130,car,out
991,133,car,out
1001,132,car,in
1008,134,car,in
1035,137,car,in
1036,136,car,out
1037,135,car,out
1054,139,car,in
1056,138,car,in
1064,143,car,in
1075,141,car,out
1076,142,car,out
1081,140,car,out
1104,144,car,in
1108,149,truck,in
1126,150,car,out
1129,145,car,in
1130,152,car,in
1139,151,car,out
1150,153,car,in
1158,154,car,out
1170,155,car,out
1177,158,car,in
1188,157,car,in
1208,160,car,out
1214,159,car,in
1215,162,car,in
1216,161,car,in
1247,165,car,out
1251,163,car,out
1251,164,car,out
1255,169,car,in
1258,166,car,in
1260,168,car,in
1276,171,car,in
1277,175,truck,in
1278,170,car,out
1287,172,car,in
1299,173,car,out
1308,174,car,in
1320,177,car,in
1327,179,truck,out
1329,178,car,out
1331,180,car,in
1362,181,car,out
1367,182,car,in
1388,183,car,in
1422,186,car,out
1422,188,car,out
1431,184,car,in
1438,185,car,in
1462,189,car,in
1465,190,truck,out
1467,192,car,out
1481,191,car,in
1521,195,car,out
1524,193,car,in
1533,197,car,in
1546,205,car,out
1567,207,car,out
1570,200,car,in
1585,210,car,in
1596,213,car,out
1602,216,car,in
1603,209,car,in
1606,211,car,in
1614,215,car,out
1630,217,car,out
1633,218,car,in
1644,219,car,out
1649,223,car,in
1654,221,car,in
1666,224,car,in
1675,228,car,in
1690,225,car,in
1693,227,car,out
1696,231,car,in
1697,226,car,out
1701,232,bus,out
1715,230,car,in
1721,237,bus,in
1740,241,car,in
1750,236,bus,out
1752,239,car,in
1756,238,car,out
1770,242,car,in
1793,245,car,in
1796,244,car,out
1799,246,car,in
1807,247,car,out
1823,248,car,in
1832,250,car,out
1844,252,truck,out
1854,249,car,in
1854,253,car,in
1855,251,car,in
1871,254,car,out
1871,255,car,out
1892,256,car,in
1895,261,car,in
1912,260,car,out
1913,257,car,out
1913,259,car,out
1943,262,car,in
1946,263,car,in
1948,264,car,out
1969,266,car,out
1980,267,car,out
1986,265,car,in
1987,268,car,out
1993,269,car,in
2019,270,car,in
2019,271,car,out
2028,272,car,out
2035,274,car,in
2045,273,car,out
2069,275,car,out
2078,280,car,in
2088,279,car,out
2097,277,car,in
2097,278,car,in
2115,281,car,out
2122,284,car,in
2127,282,car,in
2137,283,car,out
2139,288,car,in
2144,285,car,out
2147,286,car,in
2156,289,car,in
2166,291,car,in
2174,292,car,in
2183,290,car,out
2197,293,car,in
2208,295,car,in
2229,296,car,in
2238,294,car,in
2239,298,car,in
2242,297,car,out
2257,299,car,in
2257,304,car,in
2266,302,car,in
2288,301,car,in
2289,307,car,out
2300,305,car,out
2300,306,car,out
2315,309,car,in
2339,308,car,out
2349,312,car,in
2351,317,car,in
2358,310,car,out
2374,313,truck,out
2380,315,car,in
2392,314,car,out
2412,323,car,in
2430,321,truck,in
2433,318,car,in
2440,324,car,in
2444,319,car,out
2444,322,car,out
2454,320,car,out
2471,329,car,in
2472,330,car,in
2495,333,car,in
2496,325,car,out
2499,326,car,out
2535,332,car,out
2536,337,car,in
2552,335,car,in
2560,334,car,out
2569,340,car,in
2592,338,car,out
2620,339,truck,in
2624,342,car,out
2640,343,truck,out
2646,345,car,in
2673,344,car,in
2679,341,car,out
2694,347,car,in
2727,348,car,out
2740,350,car,in
2767,346,car,out
2771,349,truck,in
2792,352,car,in
2799,353,truck,in
2829,356,car,in
2843,354,car,out
2847,362,truck,in
2861,351,car,out
2865,370,car,in
2866,358,car,out
2885,359,car,in
2897,371,car,in
2912,357,car,out
2912,372,car,in
2914,373,car,in
2920,374,car,in
2934,360,car,out
2973,379,car,in
2977,383,car,in
2978,377,car,in
2987,378,car,out
3001,380,car,in
